PresentationID|Seq|Year|Source|First Name|Middle|Last Name|Organization|City|State|Country|Email|CoAuthor
14173375|1|06/08/2015|Medmeme|Nicolas||André|Service d'hématologie et Oncologie Pédiatrique, CHU Timone Enfants, AP-HM, Marseille CLIP, AP-HM, Aix-Marseille Université, INSERM, CRO2 UMR_S 911, Marseille 13385 Metronomics Global Health Initiative|||||
14177791|1|06/19/2015|Medmeme|E.||Andrenelli|Politecnica delle Marche University|Ancona||Italy||Latini_L.:Ceravolo_M. G.:Capecci_M.
14177863|1|06/19/2015|Medmeme|E.||Andrenelli|Politecnica delle Marche University|||||Capecci_M.:Monsù_A. M.:Cosimi_A.:Marchegiani_M.:Ceravolo_M. G.
14177682|1|06/19/2015|Medmeme|M.||Andriana|Airlangga University|||||Subadi_I.:Yuanita_I.
14172105|1|09/17/2014|Medmeme|Carol||Ann Benn|Department of Surgery, School of Clinical Medicine, University of the Witwatersrand|||||Mokgatle_Lungile:Rayne_Sarah
14163603|1|05/14/2015|Medmeme|Aziz||Anteena|Handicap International Bangladesh|Dhaka||Bangladesh||
14163650|1|05/14/2015|Medmeme|Aziz||Anteena|Handicap International Bangladesh|Dhaka||Bangladesh||
14177127|1|06/19/2015|Medmeme|F.||Anwar|Addenbrooke's Hospital|Cambridge||Switzerland||Al Khayer_A.:Asafu Adajay_K.:Makh-doom_R.
14177824|1|06/19/2015|Medmeme|L.||Ao||Kunming||||Zhou_N.
14178307|1|06/19/2015|Medmeme|M.||Arias Franco|Universidad Nacional de Colombia|Bogota||Switzerland||Madera_G.:Ortiz_F.
14177788|1|06/19/2015|Medmeme|M.||Arias Franco|Universidad Nacional de Colombia|Bogota||||Valencia_D.:Guio_L.
14172581|1|07/30/2015|Medmeme|A.||Arnal|CREEC and MIVEGEC, UMR IRD/CNRS/UM Montpellier|||France||Jaqueline_C.:Casali_A.:Roche_B.:Moreno_C.:Mery_F.:Thomas_F.
14170546|1|03/04/2015|Medmeme|Pravit||Asawanonda|Faculty of Medicine, Chulalongkorn University|Bangkok||Thailand||
14169712|1|12/26/2014|Medmeme|Muhammad||Ashar Malik|Dept. of Community Health Sciences (CHS)|||||Moosa Khan_Murad:Zaman_Muhammad
14177457|1|06/19/2015|Medmeme|A.||Askin|İzmir Katip Celebi University|İzmir||Switzerland||Inci_R.:Akan_O.:Demirdal_S.:Bayram_K.:Kocyigit_H.
14178439|1|06/19/2015|Medmeme|A.||Assucena||Valencia, Requena||Spain||Navarro_R.
14177917|1|06/19/2015|Medmeme|E.||Atabas|ZPRM|Bonn||Germany||
14173810|1|12/04/2014|Medmeme|Md||Atiqur Rahman|Cancer Molecular Pathology Group, Griffith Health Institute, Griffith University|Gold Coast||Australia||Salajegheh_Ali:Anthony Smith_Robert:King-yin Lam_Alfred
14173630|1|12/04/2014|Medmeme|C.||Atkinson|Griffith Health Institute and School of Medical Science, Griffith University|Gold Coast||Australia||Munn_AL.:Wiegmans_A.:Khanna_KK:Wei_MQ.
14170267|1|03/25/2015|Medmeme|Robert A||Avery|Children's National Medical Center|Washington, DC||||Rajjoub_Raneem:Trimboli-Heidler_Carmelina:Packer_Roger J
14177398|1|06/19/2015|Medmeme|D.||Avramescu|National Institute of Physical Medicine and Rehabilitation|Bucharest, Bucuresti, RO||Romania||Poenaru_D.:Cinteză_D.
14177013|1|06/19/2015|Medmeme|S. B.||Ayaz|Armed Forces Institute of Rehabilitation Medicine|Rawalpindi||||Rathore_F.:Ahmad_K.:Akhtar_N.:Wa-heed_A.
14169671|1|06/08/2015|Medmeme|David||Aylor|North Carolina State University|||||
14170468|1|03/04/2015|Medmeme|A||Azminingrum|Department of Dermato-Venereology. Faculty of Medicine. Airlangga University Dr. Soetomo General Hospital Surabaya|||Indonesia||Listiawan_M. Y.
14169636|1|06/11/2015|Medmeme|A.||Backredee|University of the West Indies, San Fernando General Hospital|||Trinidad and Tobago||
14178073|1|06/19/2015|Medmeme|S.||Baek|Kangwon National University Hospital|||||Kang_E. K.:Park_H.- W.:Lee_S.- A.:Moon_J.:Yang_J. E.:Kim_K. S.:Kim_J. Y.
14173250|1|05/19/2014|Medmeme|Robert||Bai|Jefferson Medical College of Thomas Jefferson University|||||Green_Michael
14177628|1|06/19/2015|Medmeme|D.||Bakalidou|Technological Educational Institution of Athens|Egaleo||||Gasparinatos_G.:Antonelou_R.:Voumvourakis_K.
14173712|1|12/04/2014|Medmeme|M||Bakr|School of Dentistry and Oral Health, Gold Coast Campus Griffith University|QLD 4405||Australia||George_R:Khan_U:Skerman_E
14169892|1|05/14/2014|Medmeme|Subhasree||Balakrishnan|Department of Molecular and Cellular Biochemistry, College of Medicine|||||Sizemore_Gina:Trimboli_Anthony J.:Wallace_Julie A.:Woelke_Sarah:Leone_Gustavo
14156020|1|05/09/2015|Medmeme|A.||Baldi|Servio Immnunotrasfusionale, AUSL|Massa Carrara||||Lorenzetti_D.:Pecori_F.:Rosaia_B.:Casani_A.
14165751|1|06/21/2015|Medmeme|K||Balihar|'st Medical Department, Charles University Medical Faculty and Teaching Hospital|Plzen||Czech Republic||Kozeluhova_J:Hejda_V:Krcma_M:Lysak_D:Gorcikova_J:Hes_O:Matejovic_M
14169621|1|06/11/2015|Medmeme|V||Bandoo|Eric Williams Medical Sciences Complex|Trinidad||||Byam_J:Bahadur Singh_S:Pran_L:Maharaj_R
14173376|1|06/08/2015|Medmeme|Ayuna||Barlukova|Aix-Marseille University|||||Honoré_S.:Hubert_F.:Petit_M.
14156025|1|05/09/2015|Medmeme|F.||Barone|UOC di Medicina d'Urgenza, Accettazione e PSA, Ospedale di Lagonegro (PZ), ASP Potenza|||Italy||Barone_N.:Pietro_C.:Minervini_G.:Schiava_A.:Tripodi_B.:Cimmino_G.:Pietrafesa_E.:Colarusso_D.
14170351|1|03/25/2015|Medmeme|Gerard P||Barry|Albany Medical College 47 New Scotland Ave|Albany, NY 12208||||Herrmann_Alyssa S:Simon_John W
7205197|1|10/28/2011|Medmeme|Sivasubramanian||Baskar|Experimental Transplantation and Immunology Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health|Bethesda, MD||||Wiestner_Adrian:Wilson_Wyndham H.:Pastan_Ira:Rader_Christoph
14156031|1|05/09/2015|Medmeme|C.||Bassino|UO di Medicina, AO Sant'Anna di Como|||Italy||Tettamanzi_D.:Gerosa_P.F.:Scollo_G.:Limido_E.
14173693|1|12/04/2014|Medmeme|L.||Baumann-Birkbeck|Griffith Health Institute, Griffith University|Gold Coast||Australia||Khan_S.:Anoopkumar-Dukie_S.:Klopper_C.J.:Faichney_J.:Grant_GD.
14172416|1|09/17/2014|Medmeme|Brendan||Bebington|Department of Surgery, School of Clinical Medicine, University of the Witwatersrand|||||
14172252|1|09/17/2014|Medmeme|Mags||Beksinska|Department of Obstetrics and Gynaecology, School of Clinical Medicine, University of the Witwatersrand|||||Smit_Jennifer:Greener_Ross:Pienaar_Jaqueline:Milford_Cecilia:Mabude_Zonke:Rambally_Letitia:Drace_Melanie:Sithole_Kedibone
14173649|1|12/04/2014|Medmeme|K||Bell|Health Sciences & Medicine, Bond University|Robina||Australia||Del Mar_C:Wright_G:Dickinson_J:Glasziou_P
14172408|1|09/17/2014|Medmeme|Trevor||Bell|Department of Internal Medicine, School of Clinical Medicine, University of Witwatersrand|||||Yousif_Mukhlid:Kramvis_Anna
14178116|1|06/19/2015|Medmeme|Y.||Benchikh El Fegoun|Ipsen|Paris||France||Ottaviani_J.:McMurdo_H.:Cresswell_K.
14156037|1|05/09/2015|Medmeme|C.||Bentivenga|UOS Reumatologia, Dipartimento di Medicina Interna e dell'Invecchiamento, Alma Mater Studiorum, Ospedale S. Orsola|Bologna||||Magnani_L.:Pavesi_A.:Rinaldi_R.:Zompatori_M.:Passarini_B.:Malavolta_N.:Borghi_C.
14173380|1|06/08/2015|Medmeme|Sebastien||Benzekry|INRIA|||||Lamont_C.:Hlatky_L.:Hahnfeldt_P.
14170537|1|03/04/2015|Medmeme|Mark||Berneburg|Department of Dermatology, University Hospital|Regensburg||Germany||
14170378|1|03/25/2015|Medmeme|Shauna E||Berry|Larkin Community Hospital|Miami, FL||||Kay_Matthew D:Lal_Garima:Ireland_Kathryn E:Kellogg_Clint W:Tran_Hang M
14173716|1|12/04/2014|Medmeme|A||Bezawork-Geleta|Department of Biochemistry, La Trobe Institute for Molecular Science, La Trobe University|Melbourne||Australia||Dougan_DA:Neuzil_J:Truscott_KN
14170536|1|03/04/2015|Medmeme|Thomas||Bieber|Department of Dennatology and Allergy, University of Bonn|||Germany||
14173997|1|04/20/2015|Medmeme|Angeliki||Birmpa|University of Patras|Patras||Greece||Dedes_Christos:Vantarakis_Apostolos
14177772|1|06/19/2015|Medmeme|S. D.||Birsan||Oradea, RO||||
14177477|1|06/19/2015|Medmeme|S. D.||Birsan||Oradea, RO||||Mircea_I.
14173717|1|12/04/2014|Medmeme|SR.||Bista|School of Pharmacy, Griffith Health Institute, Griffith University|Gold Coast||Australia||Hardy_J.:Tapuni_A.:Fu_J.:Gibbons_K.:Good_P.:Norris_R.:Haywood_A.
14172232|1|09/17/2014|Medmeme|Duane||Blaauw|Centre for Health Policy, School of Public Health, University of the Witwatersrand|||||Lagarde_Mylene
14173232|1|05/19/2014|Medmeme|John J.||Black|University of Pittsburgh School of Medicine|||||Villanueva_Flordeliza
14174806|1|06/29/2015|Medmeme|Rosa E||Blanco|Institute of Neurobiology and Department of Anatomy University of Puerto Rico|||Puerto Rico||Duprey-Díaz_Mildred V:Vega-Melendez_Giam S:Blagburn_Jonathan M
14156045|1|05/09/2015|Medmeme|E.||Blasi|Medicina per la Complessità Assistenziale I, AOU Careggi|Firenze||Italy||Bacci_F.:Baroncelli_S.:Rocchi_F.:Ciervo_D.:Antonielli_E.:Crociani_A.:Degl'Innocenti_G.:Vannucchi_V.:Nozzoli_C.
14169956|1|04/04/2014|Medmeme|Rachel||Blevins||||||Grace Fulmer_Anna:Stott_Jonathan:Doss_Josie
14177003|1|06/19/2015|Medmeme|L.||Boaventura||Maia||||Campolargo_A.
14177577|1|06/19/2015|Medmeme|L.||Boaventura||Maia||||Campolargo_A.
14177576|1|06/19/2015|Medmeme|L.||Boaventura||Maia||||Campolargo_A.:Correia_R.
14173385|1|06/08/2015|Medmeme|Magdalena||Bogdaska|Institute of Applied Mathematics and Mechanics University of Warsaw and Mathematical Oncology Laboratory Universidad de Castilla-La Mancha|||||Bodnar_M.:Belmonte-Beitia_J.:Murek_M.:Schucht_P.:Beck_J.:Pérez-García_V. M.
14173185|1|09/09/2014|Medmeme|Lennart||Bogg|Malaradalen University|Eskilstuna, Vasteras||||Soderback_Maja:Tillgren_Per
14163699|1|05/14/2015|Medmeme|Marc||Bolliger|Spinal Cord Injury Center Balgrist, Forchstrasse 340|Zurich||Switzerland||Curt_Armin:Zoerner_Bjoern
14156047|1|05/09/2015|Medmeme|C.||Bologna|AORN A. Cardarelli|Napoli||Italy||Giordano_M.:Paladino_F.
14156049|1|05/09/2015|Medmeme|M.||Bongiovanni|UO Medicina I, PO Bollate, AO G. Salvini|Bollate (MI)||||Veronese_R.:Botta_A.:Giuliani_G.:Carnovali_E.:Caldarulo_T.:Porro_A.
14156051|1|05/09/2015|Medmeme|R.||Boni|UOC Medicina I, Ospedale A. Cardarelli|Napoli||Italy||Bernaudo_D.:Fico_F.:Pesce_S.
14173386|1|06/08/2015|Medmeme|Dana-Adriana||Botesteanu|University of Maryland|||||
14177794|1|06/19/2015|Medmeme|J.- B.||Bouee|Fondation ILDYS|Roscoff||||Remy-Neris_O.:Medee_B.
14172354|1|09/17/2014|Medmeme|Tarryn||Bourhill|Department of Molecular Medicine and Haematology, School of Pathology, University of Witwatersrand|||||
14156058|1|05/09/2015|Medmeme|A.||Bovero|Medicina Interna, Ospedale Santa Corona|Pietra Ligure (SV)||Italy||Briatore_L.:Artom_P.:Mela_D.:Artom_A.
14169927|1|05/14/2014|Medmeme|David P.||Bowles|OSBP, Ohio State University|||||Ramasubramanian_Brinda:Porter_Ely:Heberling_Matthew
14172091|1|09/17/2014|Medmeme|Martin||Brand|Cardiovascular Pathophysiology and Genomics Research Unit School of Physiology|||||Woodiwiss_Angela:Michel_Frederic:Booysens_Hendrik:Majane_Olebogeng:Maseko_Muzi:Naylor_Simon:Veller_Martin:Norton_Gavin
14177742|1|06/19/2015|Medmeme|V.||Brás da Silva|Hospital Curry Cabral, CHLC - EPE|Lisbon||Switzerland||Amaral Silva_M.:Miguéns_A. C.:Lopes_M. E.:Veiga_E.
14174431|1|04/30/2015|Medmeme|Andreas||Breil-Wirth||Neuss||||Engelhardt_L.V. v.:Jerosch_J.
14173036|1|07/02/2015|Medmeme|Zacharias||Brimnes Visby Damholt|Department of Systems Biology, Technical University of Denmark|||||
14156061|1|05/09/2015|Medmeme|L.||Brugioni|Medicina Interna Area Critica, AOU Policlinico|Modena||Italy||Ognibene_C.:Gozzi_C.:Rosa_M.C.
14172907|1|07/05/2015|Medmeme|N.||Buaron|Ben-Gurion University of the Negev, Department of Chemical Engineering|Beer-Sheva||Israel||Chintacunta_R.:Goldbart_R.:Traitel_T.:Brem_H.:Kost_J.
14156067|1|05/09/2015|Medmeme|N.||Buccianti|UOC Medicina Interna, Ospedale Madonna delle Grazie|Matera||Italy||Aulenti_G.:Clemente_R.:Dentamaro_G.:La Masa_T.:Lo Nigro_L.:Lascaro_V.:Santarcangelo_P.
14174241|1|04/30/2015|Medmeme|Petra||Buchin-Emunds||Markgroningen||||Schall_H.:Gossel_L.:Krebs_S.:Schatz_C.R.
14177448|1|06/19/2015|Medmeme|T.||Bućma|"Institute for Physical Therapy and Rehabilitation ""Dr Miroslav Zotovic"" Banjaluka"|||||Bajić_Z.:Stajić-Aksentić_V.:Grubiša-Vujasinović_S.
14177921|1|06/19/2015|Medmeme|E.||Bukreeva|Child Health Care Research Clinic|Moscow||Switzerland||Petrichenko_A.:Ivanova_N.:Sharoev_T.:Prityko_A.
14177922|1|06/19/2015|Medmeme|E.||Bukreeva|Child Health Care Research Clinic|Moscow||Switzerland||Petrichenko_A.:Ivanova_N.:Sharoev_T.:Prityko_A.
14173387|1|06/08/2015|Medmeme|Svetlana||Bunimovich-Mendrazitsky|Ariel University|||||Kronik_N.
14174496|1|06/29/2015|Medmeme|Warren||Burggren|University of North Texas|||United States||Flores Santin_Josele
14164965|1|06/10/2015|Medmeme|T.||Burkard|Cardiology, University Hospital|Basel||Switzerland||Trendelenburg_M.:Daikeler_Th.:Hess_Ch.:Bremerich_J.:Brinkert_M.:Buser_P. T.:Zellweger_M. J.
14177599|1|06/19/2015|Medmeme|D.||Burke|Emory University|Atlanta, GA||United States||
14173903|1|04/20/2015|Medmeme|Sophie||Butot|Nestle Research Centre|Lausanne||Switzerland||
14177422|1|06/19/2015|Medmeme|R.||Cadilha||Viana do Castelo||||Amorim_H.:Barroso_J.
14177430|1|06/19/2015|Medmeme|R.||Cadilha||Viana do Castelo||||Amorim_H.:Machado Vaz_I.:Barroso_J.
14177913|1|06/19/2015|Medmeme|R.||Cadilha||Viana do Castelo||||Amorim_H.:Marques_C.:Barroso_J.
14172836|1|07/08/2015|Medmeme|J.M.F.||Caeiro||||||
14173251|1|05/19/2014|Medmeme|Kirk E.||Cahill|The University of Chicago Pritzker School of Medicine|||||Yamini_Bakhtiar
14170269|1|03/25/2015|Medmeme|Julie K||Calderwood|St. Jude Children's Research Hospital|Memphis, Tennessee||||Hoehn_Mary E:Armstrong_Greg
14173274|1|05/09/2015|Medmeme|Julia||Caldwell|Department of Anesthesiology, Penn State Hershey Medical Center|||||Afilaka_Babatunde:Moss_Caitlyn:Bezinover_Dmitri:Vaida_Sonia:Iskandarani_Khaled
14156069|1|05/09/2015|Medmeme|R.||Calvi|SC Medicina Interna, Ospedale di Mondovì ASL CN1|Cuneo||Italy||Brignone_C.:Galletto_L.:Nallino_M.G.
14172191|1|09/17/2014|Medmeme|Geoffrey||Candy|Department of Surgery, School of Clinical Medicine, University of the Witwatersrand|||||Naidoo_Annastasia:Ruiz_Julien
14173713|1|12/04/2014|Medmeme|R.||Cant|School of Nursing and Midwifery, Monash University, Melbourne Australia|||||Ball_L.
14173390|1|06/08/2015|Medmeme|Vincenzo||Capasso|ADAMSS Università degli Studi di Milano|||||
14164955|1|06/10/2015|Medmeme|D.||Carballo|Cardiology, University Hospital|Genève||||Noble_St.:Carballo_S.:Stirnemann_J.:Muller_H.:Burri_H.:Sunthorn_H.:Vuilleumier_N.:Keller_P.-F.:Mach_F.:Shah_D.
14177888|1|06/19/2015|Medmeme|O.||Cardoso|Centro Hospitalar do Alto Ave|Porto||Switzerland||
14177889|1|06/19/2015|Medmeme|O.||Cardoso|Centro Hospitalar do Alto Ave|Porto||Switzerland||
14156082|1|05/09/2015|Medmeme|P.||Carfagna|Medicina Interna, AO San Giovanni Addolorata|||Roma||Russo_A.:Falcone_M.:Fantoni_M.:Murri_R.:Masucci_L.:Ghezzi_M.C.:Posteraro_B.:Sanguinetti_M.:Venditti_M.
14178336|1|06/19/2015|Medmeme|A. B.||Carli|Gölcük Military Hospital|Kocaeli||||Tekin_L.:Mian_B.:Liying_Z.:Jing_L.
14178339|1|06/19/2015|Medmeme|A. B.||Carli|Gölcük Military Hospital|Kocaeli||||Turgut_H.:Kaplan_C.:Durmus_M.:Bozkurt_Y.
14178338|1|06/19/2015|Medmeme|A. B.||Carli|Gölcük Military Hospital|Kocaeli||||Turgut_H.:Kaya_E.
14169909|1|05/14/2014|Medmeme|Randall S.||Carpenter|Neuroscience Graduate Studies Program, The Ohio State University|Columbus, Ohio||||Kigerl_Kristina A.:Niewiesk_Stefan:Popovich_Phillip G.
14173391|1|06/08/2015|Medmeme|Cècile||Carrére|I2M, Aix-Marseille Université|||||Benabdallah_A.:Carrè_M.:Chapuisat_G.
14173694|1|12/04/2014|Medmeme|A.||Carter|Griffith Health Clinics, School of Dentistry and Oral Health/Griffith Health Institute, Griffith University|Gold Coast||Australia||Kroon_J.
14177392|1|06/19/2015|Medmeme|Y.||Castañeda|Universidad Autónoma del Estado de México|Distrito Federal||Switzerland||Trujillo_A.:Gutierrez_J.
14156095|1|05/09/2015|Medmeme|L.||Castelnovo|UOC Medicina Interna, PO Saronno, AO Busto Arsizio (VSA)|||Italy||Romualdi_E.:Novati_P.:Ghiringhelli_P.
13477492|1|08/27/2014|Medmeme|Liliana||Cattenazzi|"Hospital Gral.de Agudos""Dr. J.M. Penna""del GCABA"|Ciudad de B. ss.||Republica Argentina||Elefoso_Adriana:Cecilia Linardi_María:Susana Manfredi_Martha
14156096|1|05/09/2015|Medmeme|M.||Cavaliere|Medicina I|Savona||Italy||Michelis_G.L.:Venturino_C.:Rebella_L.:Tassara_R.
14169623|1|06/11/2015|Medmeme|C||Cave|Department of Surgery, University of the West Indies|||Trinidad and Tobago||Rampersad_B
14172202|1|09/17/2014|Medmeme|Eleanor||Cave|School of Pathology, University of Witwatersrand|||||Crowther_Nigel
13477268|1|08/27/2014|Medmeme|Carlos||Celentano||Buenos Aires, San Martín||Argentina||
13477675|1|08/27/2014|Medmeme|Liliana||Celman|Htal. Gral. De Agudos Dr. Cosme Argerich|Buenos Aires, CABA||Argentina||Jesús Lobato_María:Crispino_Laura:Frigerio_Susana:Filardo_Melisa
14156100|1|05/09/2015|Medmeme|G.||Cerasari|Epatologia Clinica, AO S. Camillo-Forlanini|||Roma||Alimonti_A.:Chiodi_R.:Corsi_F.M.:Cozzolino_V.:Gerace_C.:Gimignani_G.:Luna_R.:Piazza_G.:Cerasari_S.:Struglia_C.:Clementi_C.
14177787|1|06/19/2015|Medmeme|M. G.||Ceravolo|Politecnica delle Marche University|Ancona||Italy||Capecci_M.:Verdini_F.:Leo_T.:Pepa_L.
14173178|1|09/09/2014|Medmeme|Nattineeporn||Chantaranothai|Borommarajonani College of Nursing Nakhonratchasima|Pakatip||Singkhom||Jarupisitpaiboon_Chatthong:Aunprom-Me_Sinsakchon
14173392|1|06/08/2015|Medmeme|Mark||Chaplain|School of Mathematics and Statistics University of St Andrews|||||Ptashnyk_M.:Sturrock_M.
14177982|1|06/19/2015|Medmeme|C.||Chen|Huashan Hospital, Fudan University|||||Zhu_Y.- L.:Li_Q.- Y.:Xu_J.:Gao_T.- H.:Du_C.:Li_L.:Li_F.
14178272|1|06/19/2015|Medmeme|C.- H.||Chen||Kaohsiung||||Chen_Y.- J.:Huang_M.- H.
14173222|1|05/19/2014|Medmeme|Evan C.||Chen|Stanford University School of Medicine|||||Clarke_Michael
14177132|1|06/19/2015|Medmeme|S.- Y.||Chen|National Taiwan University Hospital and National Taiwan University College of Medicine|Taipei||Switzerland||Wang_S.- S.:Hu_R.- H.:Lan_C.:Chen_Y.- S.:Dorsch_A. K.:Lai_J.- S.:Dobkin_B. H.
14177801|1|06/19/2015|Medmeme|F.- Y.||Cheng||Taipei||||Wang_R.- Y.:Yang_Y.- R.:Cheng_S.- J.:Wu_Y.- R.
14172884|1|07/05/2015|Medmeme|Jinwoo||Cheon|Department of Chemistry, Yonsei University|||South Korea||
14178117|1|06/19/2015|Medmeme|H.||Cheong|Jeonju Jeollabukdo|||South Korea||
14169953|1|05/14/2014|Medmeme|Douglas G.||Cheung|Department of Molecular Immunology, Virology and Medical Genetics, Ohio State University|Columbus, OH 43210||United States||Di Leva_Gianpiero:Fassan_Matteo:Kumar_Arpan:Patel_Krishna:Wernicke_Dorothee:Volinia_Stefano:Ciomei_Marina:Croce_Carlo M.
14170433|1|03/25/2015|Medmeme|Michael F||Chiang||||||Repka_Michael X:Morse_Christie:Wiggins_Robert:Tarczy-Hornoch_Kristina
14172652|1|07/17/2015|Medmeme|Lou||Chitkushev|Boston University|||||Reinherz_Ellis:Bruisic_Vladimir
14173784|1|12/04/2014|Medmeme|Pradeep||Cholan|Critical Care Research Group and Intensive Care Unit, Gold Coast University Hospital|Southport||Australia||Bakrania_Bhavisha:Beck_Belinda:Wagner_Karl-Heinz:Panchal_Sunil:Brown_Lindsay:Winearls_James R.:Du Toit_Eugene F.:Bulmer_Andrew C.
14173141|1|09/09/2014|Medmeme|Pleumjit||Chotiga|Boromarajonani College of Nursing Chiangmai|Chiangmai||Thailand||Wanchaitanawong_Waraporn
14177352|1|06/19/2015|Medmeme|L.||Christophe|Centre de Recherche en Neurosciences de Lyon|Bron||||Delporte_L.:Revol_P.:Dodane_E.:Jacquin-Courtois_S.:Rossetti_Y.
14178083|1|06/19/2015|Medmeme|M.||Christova|Medical University Graz|Graz||Switzerland||De Blasi_P.:Höller_Y.:Tezzon_F.:Trinka_E.:Brigo_F.:Nardone_R.
14172640|1|07/30/2015|Medmeme|T. H.||Chung|Department of Family Medicine, College of Medicine, Ulsan University Hospital, University of Ulsan|||South Korea||
14169657|1|06/08/2015|Medmeme|Gary||Churchill|The Jackson Laboratory|||||Morahan_Grant
